task,model_name,distortion,input,severity,boundary_f1
boundary,canny,low_light,distorted,clean,0.5465030358461623
boundary,canny,low_light,distorted,mild,0.535957344894716
boundary,canny,low_light,distorted,medium,0.5143538264263818
boundary,canny,low_light,distorted,severe,0.4864008322949042
boundary,canny,low_light,enhanced,clean,0.5465030358461623
boundary,canny,low_light,enhanced,mild,0.5296302904939778
boundary,canny,low_light,enhanced,medium,0.525468686452764
boundary,canny,low_light,enhanced,severe,0.5162384928979772
boundary,canny,motion_blur,distorted,clean,0.5465030358461623
boundary,canny,motion_blur,distorted,mild,0.5506526619938457
boundary,canny,motion_blur,distorted,medium,0.438185473157285
boundary,canny,motion_blur,distorted,severe,0.2984070633065162
boundary,canny,motion_blur,enhanced,clean,0.5465030358461623
boundary,canny,motion_blur,enhanced,mild,0.5483351663911334
boundary,canny,motion_blur,enhanced,medium,0.4664843395242528
boundary,canny,motion_blur,enhanced,severe,0.3451541631514144
boundary,canny,jpeg,distorted,clean,0.5465030358461623
boundary,canny,jpeg,distorted,mild,0.5454599024077174
boundary,canny,jpeg,distorted,medium,0.542723358749103
boundary,canny,jpeg,distorted,severe,0.5299477874787519
boundary,canny,jpeg,enhanced,clean,0.5465030358461623
boundary,canny,jpeg,enhanced,mild,0.5594436433388098
boundary,canny,jpeg,enhanced,medium,0.5598503078064914
boundary,canny,jpeg,enhanced,severe,0.5518826720974064
