condition,f1,det_recall
clean,0.5465030358461623,0.7360000925000925
enhanced_jpeg_medium,0.5598503078064914,0.7087451992451993
enhanced_jpeg_mild,0.5594436433388098,0.7169893994893994
enhanced_jpeg_severe,0.5518826720974064,0.5278712768712769
enhanced_low_light_medium,0.525468686452764,0.7139263884263884
enhanced_low_light_mild,0.5296302904939778,0.7280228105228106
enhanced_low_light_severe,0.5162384928979772,0.683942538942539
enhanced_motion_blur_medium,0.4664843395242528,0.4942508972508972
enhanced_motion_blur_mild,0.5483351663911334,0.70497890997891
enhanced_motion_blur_severe,0.3451541631514144,0.3273489103489103
jpeg_medium,0.542723358749103,0.6889247789247789
jpeg_mild,0.5454599024077174,0.7178071003071003
jpeg_severe,0.5299477874787519,0.3588202353202352
low_light_medium,0.5143538264263818,0.6874980019980019
low_light_mild,0.535957344894716,0.7178254523254524
low_light_severe,0.4864008322949042,0.65047335997336
motion_blur_medium,0.438185473157285,0.5008541458541458
motion_blur_mild,0.5506526619938457,0.7056285196285197
motion_blur_severe,0.2984070633065162,0.3412627927627927
