task,model_name,distortion,input,severity,f1
detection,yolov8n,low_light,distorted,clean,0.7704680375014273
detection,yolov8n,low_light,distorted,mild,0.7647796971675648
detection,yolov8n,low_light,distorted,medium,0.7386182544035285
detection,yolov8n,low_light,distorted,severe,0.7066272411601798
detection,yolov8n,low_light,enhanced,clean,0.7704680375014273
detection,yolov8n,low_light,enhanced,mild,0.7654019763573688
detection,yolov8n,low_light,enhanced,medium,0.7578448013744884
detection,yolov8n,low_light,enhanced,severe,0.7308301777892169
detection,yolov8n,motion_blur,distorted,clean,0.7704680375014273
detection,yolov8n,motion_blur,distorted,mild,0.7550820529855439
detection,yolov8n,motion_blur,distorted,medium,0.5626665525507631
detection,yolov8n,motion_blur,distorted,severe,0.4055974797361794
detection,yolov8n,motion_blur,enhanced,clean,0.7704680375014273
detection,yolov8n,motion_blur,enhanced,mild,0.7565433626468355
detection,yolov8n,motion_blur,enhanced,medium,0.5558497796034948
detection,yolov8n,motion_blur,enhanced,severe,0.3919005663276763
detection,yolov8n,jpeg,distorted,clean,0.7704680375014273
detection,yolov8n,jpeg,distorted,mild,0.7615951678060275
detection,yolov8n,jpeg,distorted,medium,0.7362105206234937
detection,yolov8n,jpeg,distorted,severe,0.4310946970355639
detection,yolov8n,jpeg,enhanced,clean,0.7704680375014273
detection,yolov8n,jpeg,enhanced,mild,0.7604906320775572
detection,yolov8n,jpeg,enhanced,medium,0.7501900597759529
detection,yolov8n,jpeg,enhanced,severe,0.6001103822352846
