task,model_name,distortion,input,severity,pck_02
pose,yolov8n-pose,low_light,distorted,clean,0.9311463801798884
pose,yolov8n-pose,low_light,distorted,mild,0.9276600662258342
pose,yolov8n-pose,low_light,distorted,medium,0.9250293033059722
pose,yolov8n-pose,low_light,distorted,severe,0.908487502812573
pose,yolov8n-pose,low_light,enhanced,clean,0.9311463801798884
pose,yolov8n-pose,low_light,enhanced,mild,0.9288671212959846
pose,yolov8n-pose,low_light,enhanced,medium,0.926128053281228
pose,yolov8n-pose,low_light,enhanced,severe,0.9148395747876548
pose,pose_robust_ft_best,low_light,distorted,clean,0.8248799099972904
pose,pose_robust_ft_best,low_light,distorted,mild,0.827204109383472
pose,pose_robust_ft_best,low_light,distorted,medium,0.8225901537813746
pose,pose_robust_ft_best,low_light,distorted,severe,0.7975963832778744
pose,pose_robust_ft_best,low_light,enhanced,clean,0.8248799099972904
pose,pose_robust_ft_best,low_light,enhanced,mild,0.8229847050274064
pose,pose_robust_ft_best,low_light,enhanced,medium,0.8245251298075437
pose,pose_robust_ft_best,low_light,enhanced,severe,0.8190669263420907
pose,yolov8n-pose,motion_blur,distorted,clean,0.9311463801798884
pose,yolov8n-pose,motion_blur,distorted,mild,0.9295923892111452
pose,yolov8n-pose,motion_blur,distorted,medium,0.8974512078413338
pose,yolov8n-pose,motion_blur,distorted,severe,0.7447780029209301
pose,yolov8n-pose,motion_blur,enhanced,clean,0.9311463801798884
pose,yolov8n-pose,motion_blur,enhanced,mild,0.9310547792925769
pose,yolov8n-pose,motion_blur,enhanced,medium,0.8877084054276982
pose,yolov8n-pose,motion_blur,enhanced,severe,0.7299878476302029
pose,pose_robust_ft_best,motion_blur,distorted,clean,0.8248799099972904
pose,pose_robust_ft_best,motion_blur,distorted,mild,0.8264162205932012
pose,pose_robust_ft_best,motion_blur,distorted,medium,0.7840420719131561
pose,pose_robust_ft_best,motion_blur,distorted,severe,0.6858368843045722
pose,pose_robust_ft_best,motion_blur,enhanced,clean,0.8248799099972904
pose,pose_robust_ft_best,motion_blur,enhanced,mild,0.824128079686748
pose,pose_robust_ft_best,motion_blur,enhanced,medium,0.7781965006391793
pose,pose_robust_ft_best,motion_blur,enhanced,severe,0.6806231505105279
pose,yolov8n-pose,jpeg,distorted,clean,0.9311463801798884
pose,yolov8n-pose,jpeg,distorted,mild,0.9291895036422582
pose,yolov8n-pose,jpeg,distorted,medium,0.9166930423904864
pose,yolov8n-pose,jpeg,distorted,severe,0.7697065913752188
pose,yolov8n-pose,jpeg,enhanced,clean,0.9311463801798884
pose,yolov8n-pose,jpeg,enhanced,mild,0.93083896042143
pose,yolov8n-pose,jpeg,enhanced,medium,0.9196305856828616
pose,yolov8n-pose,jpeg,enhanced,severe,0.8722768779872304
pose,pose_robust_ft_best,jpeg,distorted,clean,0.8248799099972904
pose,pose_robust_ft_best,jpeg,distorted,mild,0.822070421854027
pose,pose_robust_ft_best,jpeg,distorted,medium,0.8267446459640795
pose,pose_robust_ft_best,jpeg,distorted,severe,0.7398575437863922
pose,pose_robust_ft_best,jpeg,enhanced,clean,0.8248799099972904
pose,pose_robust_ft_best,jpeg,enhanced,mild,0.823516711362547
pose,pose_robust_ft_best,jpeg,enhanced,medium,0.8253451449906907
pose,pose_robust_ft_best,jpeg,enhanced,severe,0.7745689297768663
